time	T1	T2	T3
2019-10-13T00:54:14	25	402	402
2019-10-13T00:54:24	25	402	402
2019-10-13T00:54:34	25	402	402
2019-10-13T00:54:44	25	402	402
2019-10-13T00:54:54	25	402	402
2019-10-13T00:55:04	25	402	402
2019-10-13T00:55:14	25	402	402
2019-10-13T00:55:24	25	402	402
2019-10-13T00:55:34	25	402	402
2019-10-13T00:55:44	25	402	402
2019-10-13T00:55:54	25	402	402
2019-10-13T00:56:04	25	401	402
2019-10-13T00:56:14	25	401	402
2019-10-13T00:56:24	25	401	402
2019-10-13T00:56:34	25	402	402
2019-10-13T00:56:44	25	401	402
2019-10-13T00:56:54	25	402	402
2019-10-13T00:57:04	25	401	402
2019-10-13T00:57:14	25	402	402
2019-10-13T00:57:24	25	402	402
2019-10-13T00:57:34	25	401	402
2019-10-13T00:57:44	25	402	402
2019-10-13T00:57:54	25	402	402
2019-10-13T00:58:04	25	402	402
2019-10-13T00:58:14	25	401	402
2019-10-13T00:58:24	26	402	402
2019-10-13T00:58:34	25	402	402
2019-10-13T00:58:44	25	402	402
2019-10-13T00:58:54	25	402	402
2019-10-13T00:59:04	25	401	402
2019-10-13T00:59:14	25	401	402
2019-10-13T00:59:24	25	402	402
2019-10-13T00:59:34	25	402	402
2019-10-13T00:59:44	25	402	402
2019-10-13T00:59:54	25	402	402
2019-10-13T01:00:04	25	402	402
2019-10-13T01:00:14	25	402	402
2019-10-13T01:00:24	25	402	402
2019-10-13T01:00:34	25	402	402
2019-10-13T01:00:44	25	402	402
2019-10-13T01:00:54	25	402	402
2019-10-13T01:01:04	25	401	402
2019-10-13T01:01:14	25	402	402
2019-10-13T01:01:24	25	402	402
2019-10-13T01:01:34	25	401	402
2019-10-13T01:01:44	25	401	402
2019-10-13T01:01:54	25	401	402
2019-10-13T01:02:04	25	401	402
2019-10-13T01:02:14	25	401	402
2019-10-13T01:02:24	25	401	402
2019-10-13T01:02:34	25	401	402
2019-10-13T01:02:44	25	402	402
2019-10-13T01:02:54	25	402	402
2019-10-13T01:03:04	25	402	402
2019-10-13T01:03:14	25	402	402
2019-10-13T01:03:24	25	402	402
2019-10-13T01:03:34	25	401	402
2019-10-13T01:03:44	25	402	402
2019-10-13T01:03:54	25	401	402
2019-10-13T01:04:04	25	402	402
2019-10-13T01:04:14	25	402	402
2019-10-13T01:04:24	25	402	402
2019-10-13T01:04:34	25	402	402
2019-10-13T01:04:44	25	402	402
2019-10-13T01:04:54	25	402	402
2019-10-13T01:05:04	25	401	402
2019-10-13T01:05:14	25	401	402
2019-10-13T01:05:24	25	401	402
2019-10-13T01:05:34	25	402	402
2019-10-13T01:05:44	25	402	402
2019-10-13T01:05:54	25	402	402
2019-10-13T01:06:04	25	402	402
2019-10-13T01:06:14	25	401	402
2019-10-13T01:06:24	25	402	402
2019-10-13T01:06:34	25	402	402
2019-10-13T01:06:44	25	402	402
2019-10-13T01:06:54	25	402	402
2019-10-13T01:07:04	25	401	402
2019-10-13T01:07:14	25	401	402
2019-10-13T01:07:24	25	401	402
2019-10-13T01:07:34	25	402	402
2019-10-13T01:07:44	25	401	402
2019-10-13T01:07:54	25	401	402
2019-10-13T01:08:04	25	402	402
2019-10-13T01:08:14	25	402	402
2019-10-13T01:08:24	25	402	402
2019-10-13T01:08:34	25	402	402
2019-10-13T01:08:44	25	402	402
2019-10-13T01:08:54	25	402	402
2019-10-13T01:09:04	25	402	402
2019-10-13T01:09:14	25	402	402
2019-10-13T01:09:24	25	402	402
2019-10-13T01:09:34	25	402	402
2019-10-13T01:09:44	25	402	402
2019-10-13T01:09:54	25	402	402
2019-10-13T01:10:04	25	402	402
2019-10-13T01:10:14	25	402	402
2019-10-13T01:10:24	25	402	402
2019-10-13T01:10:34	25	401	402
2019-10-13T01:10:44	25	402	402
2019-10-13T01:10:54	25	402	402
2019-10-13T01:11:04	25	402	402
2019-10-13T01:11:14	25	402	402
2019-10-13T01:11:24	25	402	402
2019-10-13T01:11:34	25	402	401
2019-10-13T01:11:44	25	402	402
2019-10-13T01:11:54	25	402	402
2019-10-13T01:12:04	25	401	401
2019-10-13T01:12:14	25	401	402
2019-10-13T01:12:24	25	402	402
2019-10-13T01:12:34	25	402	402
2019-10-13T01:12:44	25	402	402
2019-10-13T01:12:54	25	402	402
2019-10-13T01:13:04	25	402	402
2019-10-13T01:13:14	25	402	402
2019-10-13T01:13:24	25	402	402
2019-10-13T01:13:34	25	401	402
2019-10-13T01:13:44	25	401	402
2019-10-13T01:13:54	25	401	402
2019-10-13T01:14:04	25	401	402
2019-10-13T01:14:14	25	402	402
2019-10-13T01:14:24	25	402	402
2019-10-13T01:14:34	25	402	402
2019-10-13T01:14:44	25	401	402
2019-10-13T01:14:54	25	402	402
2019-10-13T01:15:04	25	402	402
2019-10-13T01:15:14	25	402	402
2019-10-13T01:15:24	25	402	402
2019-10-13T01:15:34	25	402	402
2019-10-13T01:15:44	25	402	402
2019-10-13T01:15:54	25	402	402
2019-10-13T01:16:04	25	402	402
2019-10-13T01:16:14	25	401	402
2019-10-13T01:16:24	25	401	402
2019-10-13T01:16:34	25	401	402
2019-10-13T01:16:44	25	402	402
2019-10-13T01:16:54	25	402	402
2019-10-13T01:17:04	25	402	402
2019-10-13T01:17:14	25	402	402
2019-10-13T01:17:24	25	401	402
2019-10-13T01:17:34	25	401	402
2019-10-13T01:17:44	25	401	402
2019-10-13T01:17:54	25	401	402
2019-10-13T01:18:04	25	402	402
2019-10-13T01:18:14	25	402	402
2019-10-13T01:18:24	25	402	402
2019-10-13T01:18:34	25	402	402
2019-10-13T01:18:44	25	401	402
2019-10-13T01:18:54	25	401	402
2019-10-13T01:19:04	25	402	402
2019-10-13T01:19:14	25	402	402
2019-10-13T01:19:24	25	402	402
2019-10-13T01:19:34	25	401	402
2019-10-13T01:19:44	25	401	402
2019-10-13T01:19:54	25	401	402
2019-10-13T01:20:04	25	401	402
2019-10-13T01:20:14	25	402	402
2019-10-13T01:20:24	25	402	402
2019-10-13T01:20:34	25	402	402
2019-10-13T01:20:44	25	402	402
2019-10-13T01:20:54	25	402	402
2019-10-13T01:21:04	25	402	402
2019-10-13T01:21:14	25	402	402
2019-10-13T01:21:24	25	402	402
2019-10-13T01:21:34	25	401	402
2019-10-13T01:21:44	24	401	402
2019-10-13T01:21:54	24	401	402
2019-10-13T01:22:04	25	401	402
2019-10-13T01:22:14	25	401	402
2019-10-13T01:22:24	25	402	402
2019-10-13T01:22:34	25	402	402
2019-10-13T01:22:44	25	402	402
2019-10-13T01:22:54	25	402	402
