Время	T01	T02	T03	T04	T05	T06	T07	T08	T09	P	N2
1543922998951	-1	2	6	2	3	2	1	2	2	224	1
1543923008952	-1	2	6	2	3	2	1	2	2	222	1
1543923018953	-1	2	6	2	3	2	1	2	2	221	1
1543923028953	-1	2	5	2	3	2	1	2	2	220	1
1543923038954	-1	2	5	2	3	2	1	2	2	218	1
1543923048955	-1	2	6	2	3	2	1	2	2	216	1
1543923058955	-1	2	6	2	3	2	1	2	2	216	1
1543923068956	-1	2	6	2	3	2	2	2	2	214	1
1543923078956	-1	2	6	2	3	2	2	2	2	213	1
1543923088957	-1	2	6	2	3	2	2	2	3	212	1
1543923098957	-1	2	6	2	3	2	2	2	2	210	1
1543923108957	-1	2	6	2	3	2	2	2	3	209	1
1543923118958	-1	2	5	2	3	2	2	2	3	208	1
1543923128958	-1	2	5	2	3	2	2	2	3	206	1
1543923138959	-1	2	6	2	3	2	2	2	2	205	1
1543923148960	-1	2	6	2	3	2	2	2	2	204	1
1543923158961	-1	2	6	2	3	2	2	2	2	202	1
1543923168962	-1	2	6	2	3	2	2	2	2	201	1
1543923178963	-1	2	6	2	3	2	2	2	2	200	1
1543923188964	-1	3	6	2	3	2	2	2	2	199	1
1543923198966	-1	2	6	2	3	2	2	2	3	198	1
1543923208968	-1	2	6	2	3	2	2	2	3	197	1
1543923218969	-1	2	5	2	3	2	2	2	3	196	1
1543923228970	-1	2	6	2	3	2	2	2	2	195	1
1543923238970	-1	2	6	2	3	2	2	2	2	193	1
1543923248971	-1	2	5	2	3	2	2	2	2	192	1
1543923258971	-1	2	6	2	3	2	2	2	2	191	1
1543923268971	-1	2	6	2	3	2	2	2	3	190	1
1543923278971	-1	2	6	2	3	2	2	2	3	189	1
1543923288973	-1	2	6	2	3	2	2	2	3	188	1
1543923298973	-1	2	6	2	3	2	2	2	3	187	1
1543923308975	-1	2	6	2	3	2	2	2	2	186	1
1543923318976	-1	2	6	2	3	2	2	2	2	185	1
1543923328976	-1	2	6	2	3	2	2	2	2	184	1
1543923338977	-1	3	6	2	3	2	2	2	2	183	1
1543923348977	-1	2	6	2	3	2	2	2	3	183	1
1543923358978	-1	2	6	2	3	2	2	2	2	182	1
1543923368978	-1	2	6	2	3	2	2	2	2	181	1
1543923378978	-1	2	5	2	3	2	2	2	2	179	1
1543923388978	-1	2	6	2	3	2	2	2	2	179	1
1543923398980	-1	2	6	2	3	2	2	2	2	178	1
1543923408981	-1	2	6	2	3	2	2	2	2	177	1
1543923418982	-1	2	6	2	3	2	2	2	2	176	1
1543923428982	-1	2	5	2	3	2	2	2	2	175	1
1543923438982	-1	2	5	2	3	2	2	2	2	175	1
1543923448982	-1	2	6	2	3	2	2	2	2	174	1
1543923458984	-1	2	5	2	3	2	1	2	2	173	1
1543923468985	-1	2	6	2	3	2	2	2	2	172	1
1543923478985	-1	2	6	2	3	2	2	2	2	171	1
1543923488985	-1	2	6	2	3	2	2	2	2	170	1
1543923498986	-1	2	6	2	3	2	2	2	2	170	1
1543923508987	-1	2	5	2	3	3	2	2	2	169	1
1543923518987	-1	2	5	2	3	2	2	2	2	168	1
1543923528989	-1	2	6	2	3	2	2	2	2	167	1
